frame_index,valid_pixels,percent_valid,connected_objects,unique_depth_values
0,1007801,92.3,23,1266
1,1008011,92.32,22,1267
2,1008044,92.33,23,1266
3,1007970,92.32,24,1268
4,1007977,92.32,24,1267
5,1008111,92.33,22,1267
6,1008125,92.33,24,1266
7,1008105,92.33,24,1266
8,1008036,92.32,24,1265
9,1008158,92.34,25,1266
10,1008236,92.34,24,1265
11,1008395,92.36,22,1266
12,1008447,92.36,22,1267
13,1008358,92.35,23,1264
14,1008238,92.34,23,1266
15,1008280,92.35,24,1265
16,1008483,92.37,25,1266
17,1008412,92.36,22,1265
18,1007178,92.25,26,1263
19,1006889,92.22,21,1261
20,1006778,92.21,20,1258
21,1006590,92.19,20,1255
22,1006476,92.18,20,1255
23,1006273,92.16,22,1254
24,1006368,92.17,27,1252
25,1006445,92.18,26,1252
26,1006168,92.15,26,1254
27,1005248,92.07,28,1247
28,1004689,92.02,24,1245
29,1003862,91.94,26,1241
30,1004223,91.98,24,1240
31,1004101,91.96,21,1237
32,1004188,91.97,25,1240
33,1004562,92.01,22,1240
34,1005942,92.13,25,1234
35,1007582,92.28,22,1237
36,1008664,92.38,21,1240
37,1010883,92.59,21,1244
38,1012988,92.78,17,1245
39,1013035,92.78,21,1248
40,1013926,92.86,22,1242
41,1014271,92.9,20,1241
42,1016674,93.12,21,1247
43,1018287,93.26,22,1246
44,1019886,93.41,27,1242
45,1020291,93.45,22,1240
46,1020588,93.47,27,1237
47,1020334,93.45,26,1234
48,1019853,93.41,24,1230
49,1020577,93.47,29,1229
50,1021473,93.56,25,1223
51,1021932,93.6,25,1216
52,1022504,93.65,26,1216
53,1021053,93.52,36,1213
54,1020051,93.42,41,1214
55,1020163,93.44,41,1209
56,1021626,93.57,40,1206
57,1022531,93.65,29,1206
58,1024096,93.8,31,1199
59,1024336,93.82,37,1186
60,1022737,93.67,22,1170
61,1021083,93.52,26,1166
62,1019566,93.38,36,1147
63,1017902,93.23,46,1141
64,1019125,93.34,42,1139
65,1020786,93.49,34,1140
66,1021185,93.53,37,1140
67,1021865,93.59,22,1141
68,1022215,93.62,28,1138
69,1022378,93.64,25,1140
70,1020736,93.49,30,1142
71,1020387,93.46,27,1150
72,1018477,93.28,19,1152
73,1015498,93.01,19,1162
74,1011985,92.69,16,1153
75,1005192,92.06,16,1152
76,1002632,91.83,18,1151
77,1003210,91.88,19,1153
78,1005398,92.08,19,1178
79,1011947,92.68,20,1200
80,1017049,93.15,12,1222
81,1017267,93.17,14,1229
82,1015411,93.0,16,1220
83,1012836,92.76,10,1221
84,1009773,92.48,15,1217
85,1010174,92.52,14,1216
86,1012870,92.77,7,1238
87,1015371,93.0,7,1247
88,1015720,93.03,11,1247
89,1014522,92.92,16,1238
90,1013487,92.82,17,1227
91,1015084,92.97,17,1233
92,1016802,93.13,13,1240
93,1017157,93.16,13,1239
94,1017074,93.15,12,1240
