segment,split,mean_rmse,n_frames
segment-1331771191699435763_440_000_460_000_with_camera_labels.zip,unseen,5.960298889815205,198
segment-9443948810903981522_6538_870_6558_870_with_camera_labels.zip,unseen,3.136707257385829,199
segment-16204463896543764114_5340_000_5360_000_with_camera_labels.zip,unseen,7.261409736642934,198
segment-3126522626440597519_806_440_826_440_with_camera_labels.zip,unseen,3.0269158837771175,198
segment-13034900465317073842_1700_000_1720_000_with_camera_labels.zip,unseen,3.0812437931696572,198
segment-7119831293178745002_1094_720_1114_720_with_camera_labels.zip,unseen,3.2620857568702313,198
segment-15865907199900332614_760_000_780_000_with_camera_labels.zip,unseen,3.11465766213157,198
segment-7886090431228432618_1060_000_1080_000_with_camera_labels.zip,unseen,3.9291926387584573,198
segment-1105338229944737854_1280_000_1300_000_with_camera_labels.zip,unseen,3.8077519479109414,199
segment-8197312656120253218_3120_000_3140_000_with_camera_labels.zip,unseen,2.4244462705505683,197
segment-14739149465358076158_4740_000_4760_000_with_camera_labels.zip,unseen,4.9300292658083364,198
segment-15948509588157321530_7187_290_7207_290_with_camera_labels.zip,unseen,3.3315189795278424,199
segment-14663356589561275673_935_195_955_195_with_camera_labels.zip,unseen,3.9721715847651162,198
segment-11450298750351730790_1431_750_1451_750_with_camera_labels.zip,unseen,3.3717296514848267,198
segment-4490196167747784364_616_569_636_569_with_camera_labels.zip,unseen,2.9029515939529498,198
segment-17763730878219536361_3144_635_3164_635_with_camera_labels.zip,unseen,2.5465640714674285,198
segment-5372281728627437618_2005_000_2025_000_with_camera_labels.zip,unseen,3.0312678825975667,198
segment-4690718861228194910_1980_000_2000_000_with_camera_labels.zip,unseen,3.4791872633162457,199
segment-3651243243762122041_3920_000_3940_000_with_camera_labels.zip,unseen,4.2937335480343215,198
segment-1906113358876584689_1359_560_1379_560_with_camera_labels.zip,unseen,2.893150134302264,199
segment-5046614299208670619_1760_000_1780_000_with_camera_labels.zip,unseen,2.541570540648609,199
segment-13748565785898537200_680_000_700_000_with_camera_labels.zip,unseen,5.471856976523617,197
segment-17626999143001784258_2760_000_2780_000_with_camera_labels.zip,unseen,4.843534969320201,198
segment-18024188333634186656_1566_600_1586_600_with_camera_labels.zip,unseen,3.715971645682749,198
segment-9355489589631690177_4800_000_4820_000_with_camera_labels.zip,unseen,3.4164100331489484,198
segment-13336883034283882790_7100_000_7120_000_with_camera_labels.zip,unseen,7.449155249188294,199
segment-3341890853207909601_1020_000_1040_000_with_camera_labels.zip,unseen,1.9501046592539006,198
segment-1417898473608326362_2560_000_2580_000_with_camera_labels.zip,unseen,2.694580914387152,199
segment-10359308928573410754_720_000_740_000_with_camera_labels.zip,unseen,2.8149717261443783,199
segment-5990032395956045002_6600_000_6620_000_with_camera_labels.zip,unseen,3.505086773004963,199
segment-5638240639308158118_4220_000_4240_000_with_camera_labels.zip,unseen,1.8384335244720305,199
segment-9145030426583202228_1060_000_1080_000_with_camera_labels.zip,unseen,5.852168394692579,199
segment-10868756386479184868_3000_000_3020_000_with_camera_labels.zip,unseen,3.953345686946083,199
segment-10149575340910243572_2720_000_2740_000_with_camera_labels.zip,unseen,2.8500753395521463,199
segment-4593468568253300598_1620_000_1640_000_with_camera_labels.zip,unseen,5.0724812709923945,198
segment-13299463771883949918_4240_000_4260_000_with_camera_labels.zip,unseen,3.6998737171442824,198
segment-10247954040621004675_2180_000_2200_000_with_camera_labels.zip,unseen,3.4436321120069486,198
segment-14244512075981557183_1226_840_1246_840_with_camera_labels.zip,unseen,4.283367230807464,197
segment-3915587593663172342_10_000_30_000_with_camera_labels.zip,unseen,3.041293940352435,199
segment-967082162553397800_5102_900_5122_900_with_camera_labels.zip,unseen,3.1230778322747006,199
segment-5183174891274719570_3464_030_3484_030_with_camera_labels.zip,unseen,2.8647738970703815,199
segment-11436803605426256250_1720_000_1740_000_with_camera_labels.zip,unseen,4.130290361505058,199
segment-15396462829361334065_4265_000_4285_000_with_camera_labels.zip,unseen,2.473012891247045,199
segment-1664548685643064400_2240_000_2260_000_with_camera_labels.zip,unseen,2.1443117923542934,197
segment-5993415832220804439_1020_000_1040_000_with_camera_labels.zip,unseen,3.0386874025518242,198
segment-7493781117404461396_2140_000_2160_000_with_camera_labels.zip,unseen,2.5993976353400914,199
segment-4632556232973423919_2940_000_2960_000_with_camera_labels.zip,unseen,3.7669199915847393,198
segment-8302000153252334863_6020_000_6040_000_with_camera_labels.zip,unseen,3.3376836680886734,199
segment-684234579698396203_2540_000_2560_000_with_camera_labels.zip,unseen,4.017655672739498,199
segment-8079607115087394458_1240_000_1260_000_with_camera_labels.zip,unseen,3.92681007072179,198
segment-12940710315541930162_2660_000_2680_000_with_camera_labels.zip,unseen,3.377678552059212,198
segment-4008112367880337022_3680_000_3700_000_with_camera_labels.zip,unseen,2.6728675491246747,199
segment-2383902674438058857_4420_000_4440_000_with_camera_labels.zip,unseen,1.9936473598383895,198
segment-2257381802419655779_820_000_840_000_with_camera_labels.zip,unseen,3.7853113804200684,198
segment-2736377008667623133_2676_410_2696_410_with_camera_labels.zip,unseen,3.3031374712280814,197
segment-12153647356523920032_2560_000_2580_000_with_camera_labels.zip,unseen,2.5454912155716864,199
segment-9579041874842301407_1300_000_1320_000_with_camera_labels.zip,unseen,4.323112324853638,199
segment-15739335479094705947_1420_000_1440_000_with_camera_labels.zip,unseen,3.4962832807895525,199
segment-3122599254941105215_2980_000_3000_000_with_camera_labels.zip,unseen,3.3565115296479426,198
segment-11616035176233595745_3548_820_3568_820_with_camera_labels.zip,unseen,3.2310308379743566,199
segment-6259508587655502768_780_000_800_000_with_camera_labels.zip,unseen,3.1986265134571785,199
segment-10837554759555844344_6525_000_6545_000_with_camera_labels.zip,unseen,2.2909397145714423,198
segment-15959580576639476066_5087_580_5107_580_with_camera_labels.zip,unseen,2.9383159821956,199
segment-10998289306141768318_1280_000_1300_000_with_camera_labels.zip,unseen,3.554792381296254,198
segment-10980133015080705026_780_000_800_000_with_camera_labels.zip,unseen,3.5961363104858783,198
segment-17136775999940024630_4860_000_4880_000_with_camera_labels.zip,unseen,3.3173013557779027,188
segment-18333922070582247333_320_280_340_280_with_camera_labels.zip,unseen,2.901967077544241,198
segment-10689101165701914459_2072_300_2092_300_with_camera_labels.zip,unseen,2.8537302727651115,198
segment-13347759874869607317_1540_000_1560_000_with_camera_labels.zip,unseen,2.5238405345666286,198
segment-13982731384839979987_1680_000_1700_000_with_camera_labels.zip,unseen,2.961945076084616,199
segment-4612525129938501780_340_000_360_000_with_camera_labels.zip,unseen,4.526724343323828,199
segment-3077229433993844199_1080_000_1100_000_with_camera_labels.zip,unseen,3.606094954600885,199
segment-1024360143612057520_3580_000_3600_000_with_camera_labels.zip,unseen,3.046231369277341,199
segment-6161542573106757148_585_030_605_030_with_camera_labels.zip,unseen,2.949675581069908,198
segment-14127943473592757944_2068_000_2088_000_with_camera_labels.zip,unseen,4.181608176592625,198
segment-17387485694427326992_760_000_780_000_with_camera_labels.zip,unseen,4.928691417128596,199
segment-2834723872140855871_1615_000_1635_000_with_camera_labels.zip,unseen,2.1878570450676813,198
segment-5373876050695013404_3817_170_3837_170_with_camera_labels.zip,unseen,3.094938785291565,197
segment-6001094526418694294_4609_470_4629_470_with_camera_labels.zip,unseen,3.5286513711466934,198
segment-12134738431513647889_3118_000_3138_000_with_camera_labels.zip,unseen,2.7563494239190613,198
segment-14586026017427828517_700_000_720_000_with_camera_labels.zip,unseen,3.1328667683817035,199
segment-6637600600814023975_2235_000_2255_000_with_camera_labels.zip,unseen,2.034037362990068,199
segment-12820461091157089924_5202_916_5222_916_with_camera_labels.zip,unseen,2.8076839139967253,198
segment-17595457728136868510_860_000_880_000_with_camera_labels.zip,unseen,2.307683845860275,199
segment-6174376739759381004_3240_000_3260_000_with_camera_labels.zip,unseen,2.7005869216389127,198
segment-17791493328130181905_1480_000_1500_000_with_camera_labels.zip,unseen,2.8530660612242564,196
segment-13941626351027979229_3363_930_3383_930_with_camera_labels.zip,unseen,4.256812983421824,199
segment-4054036670499089296_2300_000_2320_000_with_camera_labels.zip,unseen,2.9557935866442593,198
segment-11387395026864348975_3820_000_3840_000_with_camera_labels.zip,unseen,3.196846478481583,197
segment-16229547658178627464_380_000_400_000_with_camera_labels.zip,unseen,2.8971599757973916,197
segment-12374656037744638388_1412_711_1432_711_with_camera_labels.zip,unseen,2.627105984855537,199
segment-271338158136329280_2541_070_2561_070_with_camera_labels.zip,unseen,2.7738987429058133,199
segment-16213317953898915772_1597_170_1617_170_with_camera_labels.zip,unseen,2.5180395387756036,197
segment-4916600861562283346_3880_000_3900_000_with_camera_labels.zip,unseen,3.72404591724126,198
segment-2830680430134047327_1720_000_1740_000_with_camera_labels.zip,unseen,4.210755494507876,198
segment-346889320598157350_798_187_818_187_with_camera_labels.zip,unseen,3.367220999607489,199
segment-10084636266401282188_1120_000_1140_000_with_camera_labels.zip,unseen,2.521637301948202,199
segment-7163140554846378423_2717_820_2737_820_with_camera_labels.zip,unseen,3.5641270893902037,199
segment-4045613324047897473_940_000_960_000_with_camera_labels.zip,unseen,3.590339111922374,199
segment-9041488218266405018_6454_030_6474_030_with_camera_labels.zip,unseen,3.162122739083839,198
segment-13887882285811432765_740_000_760_000_with_camera_labels.zip,unseen,3.0722471270898377,198
segment-4195774665746097799_7300_960_7320_960_with_camera_labels.zip,unseen,5.337918589462587,199
segment-6183008573786657189_5414_000_5434_000_with_camera_labels.zip,unseen,3.556901845500697,199
segment-17792628511034220885_2360_000_2380_000_with_camera_labels.zip,unseen,3.6511559916097065,172
segment-2714318267497393311_480_000_500_000_with_camera_labels.zip,unseen,3.217089663250278,198
segment-13732041959462600641_720_000_740_000_with_camera_labels.zip,unseen,2.8140083437588945,199
segment-260994483494315994_2797_545_2817_545_with_camera_labels.zip,unseen,3.3122362467511812,199
segment-5026942594071056992_3120_000_3140_000_with_camera_labels.zip,unseen,3.2664736982566027,199
segment-8506432817378693815_4860_000_4880_000_with_camera_labels.zip,unseen,3.5338154537509188,198
segment-11434627589960744626_4829_660_4849_660_with_camera_labels.zip,unseen,2.2642159750967314,198
